what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.equinox.p2.metadata,2.0.1.R36x_v20101202,"org.eclipse.equinox.p2.metadata",1326095429727
started,bundle,org.eclipse.equinox.p2.metadata.repository,1.1.0.v20100513,"org.eclipse.equinox.p2.metadata.repository",1326095429728
started,bundle,org.eclipse.equinox.p2.operations,2.0.0.v20100510,"org.eclipse.equinox.p2.operations",1326095429758
started,bundle,org.eclipse.equinox.p2.reconciler.dropins,1.1.2.R36x_v20110114,"org.eclipse.equinox.p2.reconciler.dropins",1326095429759
started,bundle,org.eclipse.equinox.p2.repository,2.0.2.R36x_v20110111-1500,"org.eclipse.equinox.p2.repository",1326095429783
started,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.0.v20100507-1815,"org.eclipse.equinox.p2.ui.sdk.scheduler",1326095429784
started,bundle,org.eclipse.equinox.p2.updatechecker,1.1.101.R36x_v20100823,"org.eclipse.equinox.p2.updatechecker",1326095429813
started,bundle,org.eclipse.equinox.preferences,3.3.0.v20100503,"org.eclipse.equinox.preferences",1326095429814
started,bundle,org.eclipse.equinox.registry,3.5.0.v20100503,"org.eclipse.equinox.registry",1326095429815
started,bundle,org.eclipse.equinox.security,1.0.200.v20100503,"org.eclipse.equinox.security",1326095429816
started,bundle,org.eclipse.equinox.util,1.0.200.v20100503,"org.eclipse.equinox.util",1326095429817
started,bundle,org.eclipse.help,3.5.0.v20100524,"org.eclipse.help",1326095429818
started,bundle,org.eclipse.jdt.core,3.6.2.v_A76_R36x,"org.eclipse.jdt.core",1326095429820
started,bundle,org.eclipse.jdt.core.manipulation,1.3.0.v20100520-0800,"org.eclipse.jdt.core.manipulation",1326095429821
started,bundle,org.eclipse.jdt.launching,3.5.200.v20110105_r362,"org.eclipse.jdt.launching",1326095429831
started,bundle,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui",1326095429836
started,bundle,org.eclipse.jface,3.6.2.M20110210-1200,"org.eclipse.jface",1326095429837
started,bundle,org.eclipse.jsch.core,1.1.200.I20100505-1245,"org.eclipse.jsch.core",1326095429838
started,bundle,org.eclipse.ltk.core.refactoring,3.5.101.r362_v20101117-0800,"org.eclipse.ltk.core.refactoring",1326095429839
started,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1326095429839
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1326095429840
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1326095429841
started,bundle,org.eclipse.mylyn.commons.net,3.4.1.v20100625-2100-e3x,"org.eclipse.mylyn.commons.net",1326095429841
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1326095429842
started,bundle,org.eclipse.mylyn.context.ui,3.4.2.v20110131-0100-e3x,"org.eclipse.mylyn.context.ui",1326095429843
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.1.v20110131-0100-e3x,"org.eclipse.mylyn.monitor.ui",1326095429844
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.tasks.ui",1326095429845
started,bundle,org.eclipse.mylyn.team.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.team.ui",1326095429846
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1326095429847
started,bundle,org.eclipse.team.core,3.5.101.R36x_v20110203-1036,"org.eclipse.team.core",1326095429848
started,bundle,org.eclipse.team.cvs.core,3.3.301.R36x_v20110119-0815,"org.eclipse.team.cvs.core",1326095429850
started,bundle,org.eclipse.team.cvs.ui,3.3.302.R36x_v20110203-1036,"org.eclipse.team.cvs.ui",1326095429851
started,bundle,org.eclipse.team.ui,3.5.102.R36x_v20110203-1036,"org.eclipse.team.ui",1326095429853
started,bundle,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui",1326095429855
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1326095429856
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1326095429857
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1326095429919
started,bundle,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.ide",1326095429922
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1326095429923
started,bundle,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views",1326095429924
started,bundle,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"org.eclipse.ui.workbench",1326095429925
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1326095429926
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1326095429927
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1326095429928
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1326095429929
started,bundle,org.eclipse.wst.sse.core,1.1.504.v201102160550,"org.eclipse.wst.sse.core",1326095429930
started,bundle,com.android.ide.eclipse.adt,16.0.1.v201112150204-238534,"com.android.ide.eclipse.adt",1326095429931
started,bundle,com.android.ide.eclipse.ddms,16.0.1.v201112150204-238534,"com.android.ide.eclipse.ddms",1326095429931
started,bundle,com.android.ide.eclipse.traceview,16.0.1.v201112150204-238534,"com.android.ide.eclipse.traceview",1326095429931
started,bundle,com.google.gdt.eclipse.core,2.5.0.v201112160242-rel-r36,"com.google.gdt.eclipse.core",1326095429932
started,bundle,com.google.gdt.eclipse.login,2.5.0.v201112160242-rel-r36,"com.google.gdt.eclipse.login",1326095429932
started,bundle,com.google.gdt.eclipse.managedapis,2.5.0.v201112160242-rel-r36,"com.google.gdt.eclipse.managedapis",1326095429933
started,bundle,com.google.gdt.eclipse.suite.ext,2.5.0.v201112160242-rel-r36,"com.google.gdt.eclipse.suite.ext",1326095429933
started,bundle,org.eclipse.mylyn.commons.ui,3.6.1.v20110720-0100,"org.eclipse.mylyn.commons.ui",1326095429934
os,sysinfo,,,"win32",1326095429939
arch,sysinfo,,,"x86",1326095429939
ws,sysinfo,,,"win32",1326095429939
locale,sysinfo,,,"en_US",1326095429939
processors,sysinfo,,,"4",1326095429939
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1326095429939
java.runtime.version,sysinfo,,,"1.6.0_29-b11",1326095429939
java.specification.name,sysinfo,,,"Java Platform API Specification",1326095429939
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1326095429939
java.specification.version,sysinfo,,,"1.6",1326095429939
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1326095429939
java.version,sysinfo,,,"1.6.0_29",1326095429939
java.vm.info,sysinfo,,,"mixed mode, sharing",1326095429939
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1326095429939
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1326095429939
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1326095429939
java.vm.specification.version,sysinfo,,,"1.0",1326095429939
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1326095429939
java.vm.version,sysinfo,,,"20.4-b02",1326095429939
started,bundle,org.eclipse.wb.core.lib,1.2.0.r36x201110191514,"org.eclipse.wb.core.lib",1326095430062
started,bundle,org.eclipse.wst.xml.core,1.1.503.v201102102045,"org.eclipse.wst.xml.core",1326095430066
started,bundle,com.google.gdt.eclipse.platform.shared,2.5.0.v201112160242-rel-r36,"com.google.gdt.eclipse.platform.shared",1326095430203
started,bundle,com.google.gdt.eclipse.platform.e36,2.5.0.v201112160242-rel-r36,"com.google.gdt.eclipse.platform.e36",1326095430204
started,bundle,org.eclipse.wb.core,1.2.0.r36x201110191514,"org.eclipse.wb.core",1326095430803
started,bundle,org.eclipse.wst.css.core,1.1.402.v201102031915,"org.eclipse.wst.css.core",1326095430945
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1326095431424
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1326095431433
