what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1326093499008
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1326093499026
started,bundle,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser",1326093504528
started,bundle,com.google.gwt.eclipse.oophm,2.5.0.v201112160242-rel-r36,"com.google.gwt.eclipse.oophm",1326093504774
opened,view,com.google.gwt.eclipse.oophm,2.5.0.v201112160242-rel-r36,"com.google.gwt.eclipse.DevModeView",1326093505016
activated,view,com.google.gwt.eclipse.oophm,2.5.0.v201112160242-rel-r36,"com.google.gwt.eclipse.DevModeView",1326093505055
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1326093505097
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1326093506708
executed,command,,,"com.google.gdt.eclipse.android.cloud.launch.local.debug",1326093507009
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1326093507018
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1326093511236
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1326093518171
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1326093521462
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1326093543561
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1326093546335
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1326093546459
activated,view,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views.ContentOutline",1326093554762
activated,view,com.google.gwt.eclipse.oophm,2.5.0.v201112160242-rel-r36,"com.google.gwt.eclipse.DevModeView",1326093554765
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1326093561050
